business_type_code,rate_code,billing_method,demand_p_kw,demand_op_kw,demand_h_kw,energy_p_kwh,energy_op_kwh,energy_h_kwh,contract_kva_ref,sample_size,notes,has_solar
UNSPECIFIED,3224,TOU,330.0,279.0,315.0,63390.0,42060.0,44190.0,,1,ข้อมูลจริงจากใบแจ้งค่าไฟฟ้า PEA กำแพงเพชร รอบบิล 06/2569 - ยังไม่ทราบประเภทธุรกิจของผู้ใช้ไฟรายนี้,false
47190,50,TOU,700.0,300.0,250.0,45000.0,15000.0,10000.0,1500.0,1,PLACEHOLDER - ประมาณการสำหรับห้าง/ศูนย์การค้า (พีคช่วงเวลาเปิดห้าง) ควรแทนที่ด้วยค่าเฉลี่ยจาก AMR จริง,false
MANU,50,TOU,1200.0,1100.0,300.0,80000.0,70000.0,15000.0,2500.0,1,PLACEHOLDER - ประมาณการสำหรับโรงงาน (ใช้ไฟสูงต่อเนื่องวันทำการ ลดลงมากวันหยุด) ควรแทนที่ด้วยค่าเฉลี่ยจาก AMR จริง,false
DEFAULT,DEFAULT,TOU,500.0,400.0,350.0,35000.0,25000.0,20000.0,1000.0,0,ค่ากลาง fallback สุดท้าย - เป็นค่าประมาณคร่าวๆ เมื่อไม่พบข้อมูลธุรกิจหรืออัตราที่ตรงกันเลย,false
31212,30,TOU,1159.64,4358.18,4444.36,84692.85,555276.38,351708.69,2250.0,11,"ค่าเฉลี่ยจาก AMR จริง (นำเข้าอัตโนมัติผ่านเว็บ ตรวจจับธุรกิจ/อัตรา/KVA อัตโนมัติจากหน้าข้อมูลผู้ใช้ไฟของ PEA, anonymized)",false
55101,50,TOU,2445.82,2317.82,2437.09,517035.39,309606.89,402531.67,2000.0,11,"ค่าเฉลี่ยจาก AMR จริง (นำเข้าอัตโนมัติผ่านเว็บ ตรวจจับธุรกิจ/อัตรา/KVA อัตโนมัติจากหน้าข้อมูลผู้ใช้ไฟของ PEA, anonymized)",false
34111,40,TOU,15594.67,16490.67,17866.67,2595410.22,2279438.53,2437406.47,14900.0,12,"ค่าเฉลี่ยจาก AMR จริง (นำเข้าอัตโนมัติผ่านเว็บ ตรวจจับธุรกิจ/อัตรา/KVA อัตโนมัติจากหน้าข้อมูลผู้ใช้ไฟของ PEA, anonymized)",false
34120,30,TOU,2605.33,2561.33,2598.67,355534.78,297404.84,223737.15,3200.0,12,"ค่าเฉลี่ยจาก AMR จริง (นำเข้าอัตโนมัติผ่านเว็บ ตรวจจับธุรกิจ/อัตรา/KVA อัตโนมัติจากหน้าข้อมูลผู้ใช้ไฟของ PEA, anonymized)",false
31151,30,TOU,1239.2,929.8,1408.8,13939.65,10075.95,23816.3,3250.0,12,"ค่าเฉลี่ยจาก AMR จริง (นำเข้าอัตโนมัติผ่านเว็บ ตรวจจับธุรกิจ/อัตรา/KVA อัตโนมัติจากหน้าข้อมูลผู้ใช้ไฟของ PEA, anonymized)",false
71919,20,TOU,56.67,47.1,48.18,7730.58,6245.86,5706.51,100.0,12,"ค่าเฉลี่ยจาก AMR จริง (นำเข้าอัตโนมัติผ่านเว็บ ตรวจจับธุรกิจ/อัตรา/KVA อัตโนมัติจากหน้าข้อมูลผู้ใช้ไฟของ PEA, anonymized)",false
29301,30,TOU,1223.2,1082.0,1195.2,248441.45,111360.33,121792.85,500.0,12,"ค่าเฉลี่ยจาก AMR จริง (นำเข้าอัตโนมัติผ่านเว็บ ตรวจจับธุรกิจ/อัตรา/KVA อัตโนมัติจากหน้าข้อมูลผู้ใช้ไฟของ PEA, anonymized)",false
62701,30,TOU,529.42,354.4,451.82,73599.95,37117.01,44554.1,160.0,12,"ค่าเฉลี่ยจาก AMR จริง (นำเข้าอัตโนมัติผ่านเว็บ ตรวจจับธุรกิจ/อัตรา/KVA อัตโนมัติจากหน้าข้อมูลผู้ใช้ไฟของ PEA, anonymized)",false
86101,30,TOU,774.0,577.33,656.93,119213.36,50675.06,77492.16,500.0,12,"ค่าเฉลี่ยจาก AMR จริง (นำเข้าอัตโนมัติผ่านเว็บ ตรวจจับธุรกิจ/อัตรา/KVA อัตโนมัติจากหน้าข้อมูลผู้ใช้ไฟของ PEA, anonymized)",false
